videoId,topicCategoryId
n2S69_ithEw,1
9z6TG3rpH2c,0
9z6TG3rpH2c,1
9z6TG3rpH2c,4
AENjseCbenc,0
AENjseCbenc,1
AENjseCbenc,4
20ChpMCQrv4,0
20ChpMCQrv4,1
4WfuedVjh9k,0
4WfuedVjh9k,1
E1NiHXmDrlA,0
E1NiHXmDrlA,1
HgHXtmMa0TM,0
HgHXtmMa0TM,1
HgHXtmMa0TM,4
btug9pWqehs,0
btug9pWqehs,1
btug9pWqehs,4
_XjvX9Qs33s,0
_XjvX9Qs33s,1
_XjvX9Qs33s,4
WC1WIqQtAQI,0
WC1WIqQtAQI,1
WC1WIqQtAQI,3
WOBWLpxmMiQ,0
WOBWLpxmMiQ,1
7ZZ58GYsM8o,0
7ZZ58GYsM8o,1
AZ_M5S95vuQ,0
AZ_M5S95vuQ,1
Mx4C67KtNWk,0
Mx4C67KtNWk,1
Mx4C67KtNWk,4
6mR3eLldAqY,0
6mR3eLldAqY,1
inY-5nkBPow,0
inY-5nkBPow,1
inY-5nkBPow,3
6O9ViEXQp5E,0
6O9ViEXQp5E,1
FC2XJpmVtfo,0
FC2XJpmVtfo,1
unyrQI1Uguk,0
unyrQI1Uguk,1
fWpX44QDWDU,12
fWpX44QDWDU,13
fWpX44QDWDU,14
PGPGG3guotc,15
PGPGG3guotc,16
PGPGG3guotc,17
PGPGG3guotc,12
PGPGG3guotc,14
ZBnl8R0ip0g,15
ZBnl8R0ip0g,12
ZBnl8R0ip0g,14
WS0vTRl_2PQ,14
uL48UvhI49o,12
uL48UvhI49o,14
bRQEB0CImwk,14
9mjzVY1wKOc,15
9mjzVY1wKOc,16
9mjzVY1wKOc,12
9mjzVY1wKOc,14
Z-ZD-JRs_VQ,15
Z-ZD-JRs_VQ,12
Z-ZD-JRs_VQ,13
Z-ZD-JRs_VQ,14
lbbv3sNsnWU,15
lbbv3sNsnWU,16
lbbv3sNsnWU,12
lbbv3sNsnWU,14
_VwVGwNA3Xs,16
_VwVGwNA3Xs,12
_VwVGwNA3Xs,14
NHbQ8HvsXPc,15
NHbQ8HvsXPc,16
NHbQ8HvsXPc,12
NHbQ8HvsXPc,14
cRpvpsrqkx4,14
cKgwYhRSry4,17
cKgwYhRSry4,14
_N0h9aJrBDc,16
_N0h9aJrBDc,14
7xGWwXMnC3s,15
7xGWwXMnC3s,16
7xGWwXMnC3s,18
7xGWwXMnC3s,14
xrOiYHC0SaY,15
xrOiYHC0SaY,12
xrOiYHC0SaY,14
Eyo4NisUQOk,16
Eyo4NisUQOk,12
Eyo4NisUQOk,14
xkoKIveoMeY,14
PrJyodeMf18,15
PrJyodeMf18,16
PrJyodeMf18,12
PrJyodeMf18,14
FHGZF75lTQg,17
FHGZF75lTQg,12
FHGZF75lTQg,13
FHGZF75lTQg,14
YiruFANZ1TM,15
YiruFANZ1TM,16
YiruFANZ1TM,12
YiruFANZ1TM,14
wc2ZAbZSYas,12
wc2ZAbZSYas,13
wc2ZAbZSYas,14
KzoI206eYuw,16
KzoI206eYuw,12
KzoI206eYuw,14
swbY3JjnEgM,14
AbS04UIrxmg,15
AbS04UIrxmg,16
AbS04UIrxmg,14
2fpV69UZ-Cg,14
BI2CYoM-upA,15
BI2CYoM-upA,16
BI2CYoM-upA,14
ShPfE-7k4nE,15
ShPfE-7k4nE,12
ShPfE-7k4nE,14
GJgHERWE_eg,15
GJgHERWE_eg,14
nTSOS90ZCoo,15
nTSOS90ZCoo,16
nTSOS90ZCoo,14
3SSGWTFYkm0,15
3SSGWTFYkm0,16
3SSGWTFYkm0,14
BTop1Al9trc,14
sDYyEgecqF0,14
xCzN6WNBeao,16
xCzN6WNBeao,12
xCzN6WNBeao,19
xCzN6WNBeao,14
1D-VttGNr4g,16
1D-VttGNr4g,12
1D-VttGNr4g,14
byhoiHfNlyc,15
byhoiHfNlyc,16
byhoiHfNlyc,12
byhoiHfNlyc,14
jvlDYOKfkBI,15
jvlDYOKfkBI,16
jvlDYOKfkBI,12
jvlDYOKfkBI,14
6oCiuKxgrzc,15
6oCiuKxgrzc,16
6oCiuKxgrzc,12
6oCiuKxgrzc,14
9uytt9NgZi8,15
9uytt9NgZi8,16
9uytt9NgZi8,12
9uytt9NgZi8,14
Rw5zdgF5g0Q,14
pXHLTMSZ8o8,15
pXHLTMSZ8o8,16
pXHLTMSZ8o8,12
pXHLTMSZ8o8,14
15AtGyQREmI,15
15AtGyQREmI,12
15AtGyQREmI,14
r69wXiZ-sw0,12
r69wXiZ-sw0,14
7qs4RS_HuAE,20
7qs4RS_HuAE,19
7qs4RS_HuAE,14
tOEgQ0cxNhQ,20
tOEgQ0cxNhQ,19
tOEgQ0cxNhQ,14
g8a_VAu50Kg,15
g8a_VAu50Kg,16
g8a_VAu50Kg,12
g8a_VAu50Kg,14
A8_hIqY0tcs,20
A8_hIqY0tcs,19
A8_hIqY0tcs,14
uu8TGTTWhEc,15
uu8TGTTWhEc,16
uu8TGTTWhEc,12
uu8TGTTWhEc,14
qzq1mVGF8Ss,15
qzq1mVGF8Ss,16
qzq1mVGF8Ss,12
qzq1mVGF8Ss,14
VFT0_7wKrw4,12
VFT0_7wKrw4,14
n-LZW35qHfs,15
n-LZW35qHfs,16
n-LZW35qHfs,12
n-LZW35qHfs,14
H1WaKQwKelM,15
H1WaKQwKelM,12
H1WaKQwKelM,13
H1WaKQwKelM,14
PX3YqLCscmA,15
PX3YqLCscmA,16
PX3YqLCscmA,17
PX3YqLCscmA,21
PX3YqLCscmA,12
PX3YqLCscmA,14
TudAYRIxPjw,15
TudAYRIxPjw,16
TudAYRIxPjw,21
TudAYRIxPjw,12
TudAYRIxPjw,14
2JkVTcgx_rw,15
2JkVTcgx_rw,16
2JkVTcgx_rw,12
2JkVTcgx_rw,14
wIhpD4Wi0lc,15
wIhpD4Wi0lc,16
wIhpD4Wi0lc,12
wIhpD4Wi0lc,14
cAuNkrsblt0,13
cAuNkrsblt0,14
-q2DIzcxgs4,14
--ftn3y_05E,14
yVJNZTf5M88,15
yVJNZTf5M88,16
yVJNZTf5M88,12
yVJNZTf5M88,14
fd6kzZk99TA,15
fd6kzZk99TA,16
fd6kzZk99TA,12
fd6kzZk99TA,14
g4zfT4W0PsE,14
3z23D2V_J_Y,15
3z23D2V_J_Y,16
3z23D2V_J_Y,12
3z23D2V_J_Y,19
3z23D2V_J_Y,14
qu-ooZcXzIs,14
JWUNyzwToUY,15
JWUNyzwToUY,16
JWUNyzwToUY,12
JWUNyzwToUY,14
ZsP22KsiuUo,16
ZsP22KsiuUo,12
ZsP22KsiuUo,14
u3Qj_vM5l1c,14
1cdpRPIqi60,15
1cdpRPIqi60,14
Hl6R3rHDLYU,15
Hl6R3rHDLYU,16
Hl6R3rHDLYU,12
Hl6R3rHDLYU,14
iKZWYC9L3Go,15
iKZWYC9L3Go,16
iKZWYC9L3Go,12
iKZWYC9L3Go,19
iKZWYC9L3Go,14
S-Q5ssEERxc,15
S-Q5ssEERxc,16
S-Q5ssEERxc,12
S-Q5ssEERxc,14
hV3pW8mzhUQ,15
hV3pW8mzhUQ,16
hV3pW8mzhUQ,12
hV3pW8mzhUQ,19
hV3pW8mzhUQ,14
xZFDVBoYNWo,15
xZFDVBoYNWo,16
xZFDVBoYNWo,12
xZFDVBoYNWo,14
oS8pPpCavjU,14
gcwaHh6c0NQ,15
gcwaHh6c0NQ,16
gcwaHh6c0NQ,12
gcwaHh6c0NQ,14
