channelId,channelTitle,createdAt,totViews,subscribers,videoCount,topicsIds,topicCat
UCLSW8aX9Hhkv9-LpBVRhFbw,The Living Artcade,2023-11-16T23:45:38.879002Z,121638884,739000,15,"/m/019_rr,/m/03glg,/m/02vxn,/m/02jjt","https://en.wikipedia.org/wiki/Lifestyle_(sociology),https://en.wikipedia.org/wiki/Hobby,https://en.wikipedia.org/wiki/Film,https://en.wikipedia.org/wiki/Entertainment"
UCqcOzx6P_BuF4oyvZsaPunw,ariki Anime,2022-10-25T20:09:36.445847Z,990249235,1010000,333,"/m/02jjt,/m/02vxn,/m/019_rr","https://en.wikipedia.org/wiki/Entertainment,https://en.wikipedia.org/wiki/Film,https://en.wikipedia.org/wiki/Lifestyle_(sociology)"
UCr69YQf6M8yeiYEeGjZ711Q,Theatre of the Unaligned,2023-10-02T02:29:48.665259Z,27889067,62200,186,"/m/02vxn,/m/02jjt","https://en.wikipedia.org/wiki/Film,https://en.wikipedia.org/wiki/Entertainment"
UC1EQXPSyMhU3GVfrsGg9-JA,Phil Valley,2017-11-30T21:43:19Z,15085040,23700,260,"/m/0glt670,/m/02vxn,/m/04rlf,/m/02jjt","https://en.wikipedia.org/wiki/Hip_hop_music,https://en.wikipedia.org/wiki/Film,https://en.wikipedia.org/wiki/Music,https://en.wikipedia.org/wiki/Entertainment"
UCHKhGknxUStTRKLXBoXSbNg,Poppeace,2022-02-12T09:19:37.276361Z,376966337,310000,352,"/m/02vxn,/m/02jjt,/m/0f2f9","https://en.wikipedia.org/wiki/Film,https://en.wikipedia.org/wiki/Entertainment,https://en.wikipedia.org/wiki/Television_program"
UCdUl_bahs2CptEdW0us2TRA,Mappelz,2017-01-20T02:10:48Z,3884106103,3660000,1525,"/m/09kqc,/m/02jjt,/m/02vxn","https://en.wikipedia.org/wiki/Humour,https://en.wikipedia.org/wiki/Entertainment,https://en.wikipedia.org/wiki/Film"
UCd4R6Gq-yaa1-J1XfYcE-hQ,Spider Movie,2024-07-19T11:17:09.247772Z,70615699,42100,169,"/m/02jjt,/m/02vxn","https://en.wikipedia.org/wiki/Entertainment,https://en.wikipedia.org/wiki/Film"
UCzu8CMR8o5vF8yMLSZSkXFg,FlexxFlixx,2024-05-28T22:47:08.811674Z,549323663,362000,245,"/m/02jjt,/m/02vxn","https://en.wikipedia.org/wiki/Entertainment,https://en.wikipedia.org/wiki/Film"
UCoyVbUZN4mYeRhYGlWbKSkw,Simpsons Saga,2023-10-04T11:51:40.97409Z,22974564,25400,100,"/m/02jjt,/m/019_rr,/m/0f2f9,/m/02vxn","https://en.wikipedia.org/wiki/Entertainment,https://en.wikipedia.org/wiki/Lifestyle_(sociology),https://en.wikipedia.org/wiki/Television_program,https://en.wikipedia.org/wiki/Film"
UCjM-M-tIyKvu1TusOohiqTw,Simpsons Every Day,2024-07-28T11:33:45.252231Z,157158886,134000,157,"/m/02jjt,/m/02vxn,/m/019_rr","https://en.wikipedia.org/wiki/Entertainment,https://en.wikipedia.org/wiki/Film,https://en.wikipedia.org/wiki/Lifestyle_(sociology)"
