video_index,publishedAt,duration,viewCount,likeCount,commentCount,categoryId,channel_ids.Indice
689,2024-10-06 15:24:49,00:00:26,9973479,359054,828,17,689
560,2024-10-12 19:00:45,00:00:27,1488944,58298,223,17,560
593,2024-10-08 23:03:17,00:00:27,2390692,83385,568,17,593
607,2024-10-15 02:00:10,00:00:27,830357,33798,517,17,607
617,2024-10-18 00:39:28,00:00:27,221467,8880,53,17,617
709,2024-10-05 22:07:49,00:00:27,1259039,104422,1122,17,709
0,2024-10-14 05:31:42,00:00:28,15556018,930272,7885,1,0
2,2024-10-12 19:30:00,00:00:28,17446313,1235482,8348,1,2
140,2024-10-15 00:09:25,00:00:28,1268103,49124,163,1,140
176,2024-10-17 18:05:22,00:00:28,650626,109064,1572,1,176
311,2024-10-11 01:36:02,00:00:28,5738188,322914,1054,28,311
546,2024-10-15 13:33:51,00:00:28,540393,23229,308,17,546
682,2024-10-07 10:28:52,00:00:28,9833299,212881,819,17,682
29,2024-10-06 16:02:08,00:00:29,20500701,1482586,2878,1,29
68,2024-10-05 00:16:15,00:00:29,8665083,251528,2489,1,68
326,2024-10-15 21:00:00,00:00:29,423110,19098,115,28,326
464,2024-09-15 10:43:45,00:00:29,23486512,196597,834,28,464
559,2024-10-16 01:00:04,00:00:29,581562,21829,177,17,559
636,2024-09-29 14:00:59,00:00:29,117247881,4183503,6574,17,636
707,2024-10-15 13:02:26,00:00:29,1105981,48045,125,17,707
182,2024-10-08 22:00:04,00:00:30,1630058,100073,271,1,182
329,2024-10-03 14:00:49,00:00:30,4684642,179155,561,28,329
340,2024-09-19 04:42:58,00:00:30,10259712,365805,4869,28,340
533,2024-10-10 16:22:07,00:00:30,1566694,88729,118,17,533
671,2024-10-13 05:32:00,00:00:30,818192,0,6216,17,671
522,2024-10-14 18:57:17,00:00:31,1797065,69192,830,17,41
64,2024-10-12 21:09:53,00:00:31,1313060,214710,5613,1,64
83,2024-10-11 00:37:34,00:00:31,1275409,48173,1673,1,83
170,2024-10-03 15:09:53,00:00:31,22925855,1043977,5406,1,170
310,2024-10-13 13:08:37,00:00:31,16213924,1236197,7080,28,310
368,2024-09-21 16:25:40,00:00:31,34640525,859864,1361,28,368
524,2024-10-14 16:07:34,00:00:31,3537945,235332,4551,17,524
584,2024-10-08 22:57:02,00:00:31,24366995,1266061,3049,17,584
586,2024-10-14 02:48:19,00:00:31,2740536,63481,43,17,586
654,2024-10-16 17:00:16,00:00:31,5397367,245590,810,17,654
686,2024-10-02 22:38:27,00:00:31,4611050,130107,347,17,686
694,2024-10-08 20:15:00,00:00:31,2971857,112349,397,17,694
54,2024-10-07 14:35:00,00:00:32,73637485,1713631,4243,1,54
60,2024-10-16 18:59:38,00:00:32,589881,34755,303,1,60
76,2024-10-08 07:00:28,00:00:32,5828648,272228,404,1,76
491,2024-09-24 23:43:48,00:00:32,1015875,32011,169,28,491
493,2024-10-07 20:03:39,00:00:32,634489,6350,177,28,493
590,2024-10-07 22:34:18,00:00:32,2862239,86372,340,17,590
596,2024-10-04 06:17:21,00:00:32,10237114,833492,6794,17,596
648,2024-10-01 22:35:42,00:00:32,6793644,448456,451,17,648
34,2024-10-12 15:00:26,00:00:33,4259758,334948,3181,1,34
345,2024-10-08 18:01:01,00:00:33,1166831,64486,225,28,345
4,2024-10-11 23:08:14,00:00:34,4510416,226919,572,1,4
95,2024-10-14 20:55:44,00:00:34,1828417,87312,402,1,95
602,2024-10-07 21:21:29,00:00:34,1079239,38875,256,17,602
623,2024-10-15 10:09:34,00:00:34,309590,13156,803,17,623
690,2024-10-12 21:04:26,00:00:34,733214,21331,24,17,690
258,2024-10-17 14:00:00,00:00:35,2355872,180601,5757,20,258
494,2024-10-10 17:13:01,00:00:35,758201,40237,365,28,494
521,2024-10-14 18:00:24,00:00:35,12176206,423265,1318,17,521
696,2024-10-12 17:00:41,00:00:35,1447411,43684,487,17,696
39,2024-10-14 20:33:15,00:00:36,2440785,81506,485,1,39
460,2024-09-29 13:10:02,00:00:36,8800327,296680,804,28,460
517,2024-10-14 10:32:56,00:00:36,4093369,238674,3378,17,517
73,2024-10-09 00:00:27,00:00:37,7332321,182085,316,1,73
122,2024-10-15 03:00:15,00:00:37,729031,29845,187,1,122
135,2024-10-10 03:20:21,00:00:37,3686401,187598,192,1,135
572,2024-10-11 17:26:39,00:00:37,1654500,0,1147,17,572
