createdAt,totViews,subscribers,videoCount,channel_ids.Indice
2024-03-23 11:32:24.263,52784387,39700,319,74
2024-09-22 13:13:58.440,15479367,13400,36,75
2023-10-12 21:03:52.518,83423500,34400,84,76
2024-06-14 04:25:01.534,64176926,50700,219,77
2021-02-18 21:27:00.385,177112847,179000,56,78
2015-07-10 22:29:25.000,81610548,236000,186,79
2013-03-30 04:05:32.000,12260741,19100,192,80
2024-06-27 08:05:55.127,38207335,38300,266,81
2024-05-10 15:23:11.992,309006569,242000,324,82
2021-06-17 03:35:22.650,15937280,28800,68,83
2024-03-06 08:37:46.608,209885953,180000,382,84
2024-08-13 04:01:16.737,172053728,123000,174,85
2023-03-02 03:26:44.978,1650354689,2300000,266,86
2024-04-10 10:37:00.406,166803074,128000,246,87
2024-05-15 11:47:45.104,25797856,26700,91,88
2020-02-22 01:40:23.583,99971297,312000,382,89
2006-04-10 22:04:54.000,76169687,48200,99,90
2024-08-05 12:05:58.086,73058185,77200,155,91
2024-06-14 16:17:49.720,153377929,98400,350,92
2024-07-17 04:51:36.608,269264099,138000,220,93
2017-03-08 22:22:15.000,1910210473,6780000,415,94
2023-06-01 15:22:21.397,421247462,378000,518,95
2024-07-31 11:02:55.668,86856352,57000,150,96
2024-09-10 16:02:27.189,49598562,37900,82,97
2016-06-23 03:48:26.000,1959328109,3550000,188,98
2018-09-16 16:21:05.000,7002062868,6350000,3553,99
2017-06-27 13:11:35.000,4457145652,7410000,566,100
2018-05-18 07:36:17.000,876392732,1600000,933,101
2014-03-31 23:10:31.000,158328251,150000,331,102
2017-10-18 04:31:36.000,20867057512,33900000,414,103
2019-12-31 13:54:46.624,2021131416,1220000,1566,104
2024-04-16 05:56:04.636,106961767,109000,399,105
2024-09-11 11:23:59.933,31501076,16000,85,106
2018-02-26 00:02:07.000,2507818684,3600000,792,107
2023-06-25 15:16:53.758,163616860,208000,178,108
2023-03-22 01:18:57.894,2064309288,1990000,622,109
2024-08-29 18:31:18.753,72944194,60300,82,110
2023-11-17 00:45:38.879,121638884,739000,15,111
2022-10-25 22:09:36.445,990249235,1010000,333,112
2023-10-02 04:29:48.665,27889067,62200,186,113
2017-11-30 22:43:19.000,15085040,23700,260,114
2022-02-12 10:19:37.276,376966337,310000,352,115
2017-01-20 03:10:48.000,3884106103,3660000,1525,116
2024-07-19 13:17:09.247,70615699,42100,169,117
2024-05-29 00:47:08.811,549323663,362000,245,118
2023-10-04 13:51:40.974,22974564,25400,100,119
2024-07-28 13:33:45.252,157158886,134000,157,120
2024-09-02 01:51:56.370,55125455,83000,85,121
2021-10-09 02:25:32.633,365507385,295000,954,122
2011-08-21 10:29:04.000,4198077667,6730000,2319,123
2016-04-28 22:36:37.000,205685915,157000,228,124
2024-08-21 05:01:18.070,24632233,43000,140,125
2024-04-13 05:32:37.454,116906857,59200,405,126
2010-12-20 03:40:16.000,22949069,37100,87,127
2016-04-13 15:57:08.000,876135898,1480000,638,128
2021-01-21 00:13:19.621,80187372,234000,483,129
2023-09-15 17:00:20.847,79945962,204000,132,130
2016-09-25 16:53:30.000,1276705348,1280000,4174,131
2017-10-24 11:04:44.000,98261128,405000,699,132
2024-07-22 17:22:41.279,149750195,102000,107,133
2010-06-14 18:28:30.000,472558304,1320000,273,134
2023-10-05 04:41:20.559,1267592229,480000,383,135
2024-05-02 09:46:05.766,494077297,422000,209,136
2015-09-24 21:00:03.000,1665921140,2440000,968,137
2022-03-07 10:02:28.843,160148135,968000,101,138
2023-08-19 02:57:37.456,88519670,226000,217,139
2018-11-26 20:23:43.000,1793193083,2760000,665,140
2013-08-18 11:28:00.000,32137232,85500,482,141
2024-09-10 05:32:54.804,28241147,15300,69,142
2024-07-09 04:54:15.152,176896229,146000,224,143
2013-03-29 19:36:48.000,212591683,493000,343,144
2018-01-30 22:44:36.000,549507710,352000,360,145
2015-09-19 05:02:35.000,117422467,283000,766,146
2020-11-19 16:31:42.364,265356970,734000,1306,147
2021-04-27 04:45:20.577,756918538,1240000,750,148
2007-03-02 20:34:49.000,330350470,532000,7025,149
2024-04-29 08:35:28.838,16397533,121000,169,150
2023-02-19 18:58:59.364,1175792826,976000,1340,151
2020-10-18 03:04:45.639,49785583,579000,79,152
2023-07-23 21:10:12.783,118493054,136000,127,153
2013-07-08 17:24:43.000,17943089785,13000000,2759,154
2024-04-30 12:49:34.152,137962811,536000,107,155
2022-07-29 00:01:45.159,32185694,110000,177,156
2024-05-23 06:07:02.406,38722365,21900,103,157
2024-09-02 09:18:00.649,13829609,16800,77,158
2023-02-16 14:09:09.676,406398177,438000,584,159
2024-02-01 06:46:30.139,111739714,377000,149,160
2024-04-10 12:31:57.081,194006269,124000,366,161
2007-03-15 09:42:52.000,181374763,105000,116,162
2024-06-25 12:25:11.140,67027026,42200,211,163
2023-09-01 01:18:24.330,15402580,41400,142,164
2017-02-11 20:50:52.000,606766989,493000,169,165
2013-12-13 22:45:53.000,145066825,172000,146,166
2018-10-17 17:52:23.000,63544464,29800,55,167
2024-04-30 10:22:34.780,508339885,962000,98,168
2012-10-11 04:14:03.000,1539241679,3030000,343,169
2024-05-31 21:33:46.781,66153521,112000,31,170
2020-10-17 00:58:04.243,392637954,560000,659,171
2023-10-12 15:45:52.412,70332324,57600,139,172
2007-01-12 23:55:13.000,305163947,247000,270,173
2021-12-15 22:56:18.916,8156374,53100,979,174
2024-06-21 04:42:01.703,147086845,117000,329,175
2021-08-27 21:19:25.681,1305810310,3950000,90,176
2006-09-20 08:18:26.000,13985592145,19700000,7065,177
2010-09-14 02:05:30.000,510171716,652000,156,178
2024-08-08 04:57:23.507,192959547,104000,141,179
2017-05-14 22:47:13.000,2296670,101000,23,180
2015-11-11 08:36:31.000,188990632,133000,640,181
2015-07-20 01:36:49.000,374023264,350000,440,182
2023-11-27 13:28:06.289,97914198,48400,214,183
2024-06-14 10:53:34.154,80614352,81600,217,184
2016-10-30 05:28:17.000,8691709,23100,174,185
2019-01-15 14:10:33.000,23396441,78100,1698,186
2024-07-12 13:42:27.882,21266318,22700,182,187
2007-01-02 19:08:34.000,89198900,46600,134,188
2024-06-05 04:44:48.888,65384826,35800,132,189
2021-10-27 21:41:53.993,690083484,995000,71,190
2024-05-14 09:25:13.549,204511287,79400,365,191
2014-04-15 00:03:51.000,935938201,5130000,237,192
2011-12-26 19:52:28.000,11280789233,12500000,3332,193
2024-04-12 20:14:58.904,1725352297,990000,523,194
2019-07-09 22:31:48.000,3461659559,4780000,1346,195
2015-06-14 06:08:03.000,116278105,387000,35,196
2016-08-05 11:16:16.000,1999052527,2290000,1003,197
2024-05-22 13:23:04.565,31333343,39400,364,198
2024-08-08 14:37:14.901,14985681,20900,65,199
2011-10-03 19:21:10.000,696751645,5630000,1151,200
2018-02-01 22:48:49.000,4755531408,8910000,1129,201
2012-05-26 22:30:52.000,21910351719,37000000,5653,202
2013-09-20 02:44:44.000,66552162,522000,81,203
2017-07-06 08:35:30.000,11318149469,13000000,2576,204
2018-09-02 17:27:27.000,95832004,475000,1125,205
2011-09-15 09:05:29.000,16209111304,25900000,1978,206
2012-08-13 22:32:51.000,24022678261,22000000,5119,207
2019-07-27 23:22:19.000,92724383,701000,74,208
2017-04-28 11:17:41.000,2882053456,20200000,242,209
2009-10-18 05:26:28.000,2366362754,5390000,3521,210
2007-01-07 07:33:57.000,448610662,819000,997,211
2020-03-19 23:48:34.528,867184367,3190000,792,212
2006-09-19 19:48:06.000,566838033,1330000,3025,213
2022-10-13 16:44:56.841,468952333,2040000,393,214
2023-01-02 19:14:33.792,744002781,3740000,581,215
2013-08-17 20:47:15.000,587935553,2060000,1833,216
2012-03-16 06:13:21.000,4064881889,10900000,1967,217
2016-06-14 10:10:22.000,801376444,2650000,1086,218
2006-03-04 21:27:53.000,363782341,1870000,420,219
2023-02-23 07:10:16.955,313774635,3780000,270,220
2015-12-07 19:53:39.000,926152139,2060000,2904,221
2012-11-20 05:42:25.000,337904241,1070000,1447,222
2012-12-14 01:49:57.000,624140674,1060000,1394,223
2020-01-01 21:21:42.771,12581173001,8330000,2650,224
2021-03-01 04:01:46.227,252614718,652000,2596,225
2016-04-18 05:57:43.000,1378920351,4710000,800,226
2019-10-12 00:25:39.159,275677997,1090000,768,227
2005-12-27 14:18:56.000,3591348254,9610000,6552,228
2020-01-19 23:49:40.738,1210238481,4080000,1189,230
2012-09-28 00:35:21.000,1176256833,3690000,10837,231
2020-03-18 20:39:28.699,4400596457,11700000,639,232
2015-08-04 18:55:32.000,149281543,437000,914,233
2023-08-13 23:28:43.727,237961742,865000,530,234
2024-09-11 03:34:01.969,3049406,42000,12,235
2009-09-19 18:46:14.000,650577744,2340000,951,236
2022-10-02 02:39:07.239,1959158499,8910000,811,237
2014-06-17 01:38:51.000,2927650884,5700000,2674,238
2022-03-03 19:18:53.297,255154915,888000,381,239
2014-03-07 03:23:53.000,307305807,1360000,931,240
2018-12-10 02:26:06.000,176998932,2960000,255,241
2012-03-16 05:45:52.000,1230993463,3840000,3180,242
2014-03-03 22:43:19.000,1092987285,2600000,2097,243
2015-01-08 01:11:57.000,1560030889,2910000,2803,244
2012-07-10 12:01:03.000,6975981726,5430000,9112,245
2018-08-06 23:40:33.000,94032121,414000,396,246
2009-07-12 11:02:19.000,534591221,2030000,2064,247
2015-07-09 03:29:14.000,292900184,1020000,2184,248
2023-03-19 04:40:52.432,251098861,1050000,350,249
2018-05-09 00:41:47.000,1156246264,2780000,1248,250
2023-05-01 19:36:49.797,254952796,770000,535,251
2009-11-28 03:52:35.000,15738868074,24200000,3616,252
2006-11-27 03:24:34.000,6352350839,13700000,8675,253
2018-03-13 21:46:15.000,6808637789,16000000,1074,254
2013-10-13 11:35:57.000,227149835,776000,703,255
2010-10-21 18:44:21.000,4033891532,7510000,888,256
2020-10-21 19:50:25.358,4448284138,5940000,1933,257
2024-05-24 17:01:14.464,1239409936,37100000,232,258
2012-04-10 02:04:29.000,3931899745,8110000,4041,259
2014-09-27 08:22:50.000,810115946,2950000,906,260
2015-05-18 15:06:58.000,14382843,138000,637,261
2017-05-29 06:38:04.000,2869206570,6290000,1627,262
2013-01-24 01:11:09.000,1342669421,5440000,2723,263
2020-03-31 08:20:40.599,409032661,1010000,508,264
2007-05-08 01:42:34.000,10393912380,16100000,5693,265
2018-11-05 04:13:49.000,30131394,72800,1311,266
2014-04-10 04:54:44.000,3529363782,10500000,5154,267
2008-08-25 00:26:44.000,5101819882,15300000,5376,268
2020-03-02 22:57:14.972,2958849315,8130000,1356,269
2011-07-07 23:11:55.000,3163178444,7780000,3634,270
2014-11-23 17:57:55.000,572824755,885000,3863,271
2022-07-30 13:17:18.323,8240883,105000,371,273
2022-11-02 02:38:09.388,23639762,351000,58,274
2023-04-07 21:46:00.909,47714150,433000,149,275
2014-09-15 00:59:34.000,655345069,1620000,4621,276
2012-07-17 22:45:36.000,8902165973,29000000,7665,277
2017-07-14 23:50:32.000,429090315,914000,1996,278
2013-12-31 00:50:15.000,2821729312,8750000,1608,279
2011-05-14 11:01:47.000,1486069804,2580000,3283,280
2021-01-19 18:35:30.875,295932704,784000,1842,281
2016-07-01 17:03:46.000,483504421,1370000,1284,282
2024-08-10 17:18:33.227,2767729,371000,4,283
2019-01-09 17:09:05.000,66325438,426000,242,284
2016-01-20 04:18:27.000,4612032783,8000000,3793,285
2020-12-10 02:24:21.260,211159112,1300000,863,286
2016-04-06 02:27:40.000,6750067718,16700000,1793,287
2011-08-13 20:42:18.000,1317938429,2860000,1068,288
2017-02-08 04:42:06.000,702556867,2650000,275,289
2014-12-20 22:34:17.000,1470634312,8140000,647,290
2022-01-05 06:13:09.372,22231461,76600,351,291
2022-08-20 20:28:31.216,187217345,450000,660,292
2016-09-17 06:25:44.000,7212192,83300,205,293
2010-01-05 18:09:56.000,756340671,4590000,1471,294
2016-09-15 05:06:15.000,500095021,1640000,2433,295
2010-03-09 09:03:06.000,115718424,234000,291,296
2007-05-26 02:56:06.000,1305887222,1760000,7496,297
2015-11-29 23:48:09.000,60412760,115000,1120,298
2008-03-17 00:58:57.000,595056417,2750000,203,299
2018-01-23 07:31:49.000,1770787604,9800000,1017,300
2013-08-30 19:55:55.000,31655572,531000,164,301
2020-08-02 15:07:36.927,382168326,598000,1055,302
2016-12-09 16:37:45.000,412395798,673000,2190,303
2020-04-05 07:39:05.401,154192668,541000,602,304
2014-08-31 01:59:19.000,1413045209,2540000,1968,305
2014-12-09 05:09:36.000,447444603,2420000,912,306
2022-09-20 05:58:54.699,51552459,730000,53,307
2015-12-24 06:02:45.000,263401138,1010000,971,308
2022-07-26 20:29:16.904,366146565,281000,147,309
2023-03-04 12:14:43.990,14553036,22500,13,310
2013-09-22 19:18:22.000,3245517945,5380000,570,311
2021-05-14 23:27:01.702,12784195,16900,12,312
2020-02-26 20:20:23.850,1387229542,1440000,2085,313
2017-08-01 09:57:04.000,5555666,15300,366,314
2024-07-11 18:54:28.451,166404245,295000,118,315
2014-07-17 22:09:32.000,1194949939,1100000,4198,316
2013-04-10 01:50:18.000,3591853244,4740000,1301,317
2020-05-18 22:50:46.004,1019369946,1400000,381,318
2019-02-16 02:01:25.000,447874414,1170000,218,319
2024-06-30 11:11:10.870,49959292,90000,103,320
2023-10-17 23:40:20.609,294764649,402000,209,321
2016-01-23 02:37:19.000,1217236061,1420000,237,323
2024-07-28 23:31:49.366,1816996,161000,6,324
2023-06-22 17:01:37.820,2605524,29700,57,325
2015-10-08 23:04:52.000,1202197676,1010000,1988,326
2023-03-30 14:05:28.144,133176807,859000,231,327
2014-11-09 22:54:10.000,313587120,2470000,204,328
2022-11-10 05:40:07.639,3072557304,1230000,1536,329
2022-11-22 16:52:34.990,6481753,12700,138,330
2020-11-06 19:43:34.596,4504337401,6090000,1500,331
2008-11-25 01:46:52.000,8149491686,15900000,7028,332
2021-05-24 08:09:18.941,7757801723,12900000,746,333
2023-01-01 08:24:48.636,699636748,1150000,184,334
2015-03-04 00:11:55.000,563165861,6570000,185,335
2008-03-21 16:25:54.000,4522899378,19600000,1686,336
2020-10-23 21:42:33.308,1110482336,1890000,829,337
2007-04-26 14:19:27.000,747910784,1310000,1224,338
2012-07-23 09:07:54.000,2212627100,8910000,1253,339
2021-12-14 13:13:02.854,200550213,209000,140,340
2017-02-09 15:35:30.000,391774690,936000,228,341
2023-10-15 18:56:33.005,58524971,139000,20,342
2014-10-25 17:40:35.000,5726130,17800,103,343
2015-11-02 16:06:07.000,2452915,28000,264,344
2011-08-14 20:51:02.000,258753321,365000,1528,345
2019-10-13 11:51:48.722,751025,23300,256,346
2011-01-23 02:32:56.000,4930556859,9760000,2915,347
2011-04-20 14:10:24.000,6128709628,19800000,1736,348
2015-04-26 02:35:30.000,890336358,988000,2195,349
2014-06-20 06:19:36.000,4186662203,8140000,562,350
2007-08-05 03:39:45.000,1493198670,5580000,2176,351
2015-11-04 23:44:09.000,372384779,3520000,356,352
2020-02-27 20:43:10.612,1710814462,1320000,804,353
2022-01-25 21:37:52.001,3469266599,4400000,3012,354
2007-01-13 13:55:31.000,210876591,1500000,668,355
2024-09-18 10:41:32.651,8508877,321000,28,356
2018-05-03 21:49:25.000,545838869,1900000,1048,357
2023-07-24 10:45:55.907,157279741,342000,229,358
2006-05-05 21:10:07.000,1839536204,3880000,22806,359
2017-04-07 20:17:23.000,492904229,3370000,679,360
2012-08-26 22:24:44.000,1139663992,4110000,2334,361
2009-05-12 04:03:49.000,655753683,2290000,2997,362
2022-07-04 07:03:47.470,85345429,1050000,820,363
2020-08-05 20:08:01.695,8630029,31700,92,365
2013-12-09 00:19:06.000,2606340217,2870000,2933,366
2023-05-02 19:56:20.861,1117268874,2650000,1087,367
2022-11-26 17:25:35.847,2057251688,3240000,1220,368
2011-11-10 21:41:12.000,35842449,178000,5115,369
2013-11-13 05:24:01.000,5987473,30800,325,370
2021-03-19 16:19:46.310,110786573,207000,719,371
2022-02-14 21:17:37.496,20466826,24200,28,372
2014-01-13 00:01:55.000,4770126,16700,146,373
2014-10-15 23:30:10.000,621305277,1460000,349,374
2017-02-06 05:59:45.000,261680136,1160000,669,375
2022-11-21 07:37:17.782,7338614,11700,109,376
2023-11-14 09:21:54.783,828588240,3500000,328,378
2019-03-05 16:08:10.000,71696101,432000,233,379
2010-03-02 01:37:06.000,165224521,1980000,123,380
2015-11-18 01:39:35.000,271410690,377000,181,381
2021-04-23 21:04:24.564,55419266,868000,142,382
2021-06-29 00:09:48.236,158104237,361000,232,383
2012-01-15 16:40:19.000,890547836,4310000,1259,384
2018-09-21 19:05:54.000,399981220,1210000,1716,385
2021-03-05 18:02:28.224,149831191,609000,1000,386
2021-05-16 19:23:13.803,10965165865,18400000,3852,387
2008-09-14 03:41:41.000,572165724,1600000,3987,388
2017-05-24 22:49:47.000,398627806,2740000,151,389
2020-01-24 02:20:03.253,593850034,2310000,902,390
2013-12-04 16:09:17.000,58668108,580000,47,391
2024-01-10 21:46:29.043,1146944,39600,19,392
2008-09-27 07:33:54.000,424898552,1250000,1677,393
2006-10-29 09:10:35.000,61357700,299000,752,394
2023-10-09 17:11:24.618,84015589,72800,95,395
2023-11-20 01:57:21.417,3414730315,7610000,356,396
2017-12-09 21:57:54.000,1243688178,443000,1082,397
2010-06-06 10:29:25.000,894158510,2610000,1827,398
2015-01-06 02:18:54.000,108284524,350000,917,399
2015-04-15 23:45:46.000,459385269,8990000,365,400
2012-07-05 11:59:52.000,177234187,655000,1651,401
2022-09-04 18:09:13.794,14236992,418000,40,402
2009-06-18 20:23:10.000,19760017,214000,217,403
2009-03-11 19:10:04.000,18804208339,32500000,356,404
2020-10-19 03:32:23.748,70181399,711000,227,405
2017-06-14 17:21:33.000,176889502,688000,634,406
2020-02-15 10:49:11.292,27679485,185000,344,407
2022-10-09 03:51:17.572,264495,12700,9,408
2016-09-20 08:15:02.000,1394580546,914000,694,409
2013-09-10 05:28:59.000,202899849,914000,1529,410
2006-01-17 03:31:58.000,177213069,566000,1492,411
2019-08-21 20:22:24.000,297399497,628000,326,412
2024-06-14 07:27:37.269,16684558,19900,86,413
2015-05-20 21:41:03.000,419127488,1600000,613,414
2010-04-22 00:17:45.000,9966976,102000,240,415
2006-06-17 05:03:43.000,133977699,780000,475,416
2017-03-28 11:02:30.000,26166856,185000,185,417
2010-01-24 23:34:11.000,815017722,3830000,1706,418
2009-02-05 23:32:40.000,269161716,3100000,917,419
2006-12-26 23:45:35.000,97183681,646000,883,420
2023-02-10 03:53:24.156,12574198,205000,34,421
2015-03-24 01:24:46.000,29662181,501000,721,422
2016-01-11 04:05:49.000,134535515,321000,1396,423
2018-04-21 07:59:29.000,58792799,176000,196,424
2019-03-21 13:25:59.000,13272410,73700,1073,425
2011-04-19 06:10:57.000,168322290,485000,686,426
2007-11-28 11:11:14.000,30242987,244000,386,427
2018-08-17 02:17:45.000,58134853,817000,432,428
2021-08-03 22:11:04.093,37724787,184000,385,429
2012-06-03 08:58:56.000,98108579,382000,1633,430
2009-06-29 12:34:01.000,190134862,654000,863,431
2011-04-03 17:19:11.000,815522165,3380000,4720,432
2014-01-21 21:42:30.000,96570933,259000,2557,433
2013-08-06 16:20:34.000,20163817,260000,168,434
2020-03-03 13:13:46.937,9405687,15300,696,435
2009-09-23 00:20:09.000,120713335,274000,1364,436
2017-12-17 10:00:10.000,42192420,323000,224,437
2006-09-26 16:55:15.000,162948360,573000,1449,438
2016-07-28 15:29:28.000,25659055,295000,363,439
2016-09-28 03:33:06.000,391617995,726000,4446,440
2024-01-20 20:07:19.952,691013404,2160000,128,441
2020-02-26 04:50:32.731,12417010,76800,263,442
2007-01-24 02:57:07.000,48734990,344000,584,443
2014-04-03 03:25:49.000,43769438,315000,371,444
2013-11-15 01:21:22.000,34181814,213000,584,445
2013-05-18 17:40:43.000,347026098,1790000,935,446
2020-06-04 09:46:21.698,36114008,172000,970,447
2007-06-12 01:43:08.000,413845081,1250000,7147,448
2016-06-03 08:40:28.000,598161498,5180000,1007,449
2012-06-30 02:43:23.000,271582232,1490000,1583,450
2021-10-13 18:50:32.754,11810954,63300,46,451
2012-07-11 02:39:16.000,121739743,507000,774,452
2013-05-26 18:12:56.000,49328707,320000,566,453
2014-11-24 16:54:30.000,78967000,307000,1483,454
2022-04-17 00:36:34.157,3312584372,2570000,1826,455
2014-03-11 14:14:03.000,34220253,125000,409,456
2010-12-06 20:09:17.000,1413064508,8050000,2094,457
2009-05-31 15:50:13.000,339996385,1370000,656,458
2012-09-28 17:13:20.000,155289887,500000,1960,459
2024-03-14 10:19:42.818,36226869,48400,106,460
2020-12-17 07:03:49.701,24260973,34900,565,461
2019-11-17 20:43:28.274,68229516,470000,365,462
2018-11-29 19:56:09.000,88020053,316000,322,463
2021-11-29 10:40:01.383,470971341,570000,432,464
2014-09-10 00:29:35.000,193398765,712000,1761,465
2011-04-21 22:40:07.000,328386898,829000,1319,466
2020-05-25 11:24:32.574,279899008,488000,1824,467
2023-04-30 02:46:54.339,3307789769,5930000,3189,468
2010-01-30 20:58:04.000,136025252,492000,768,469
2020-10-19 18:50:29.566,53514138,259000,1021,470
2015-04-29 07:26:43.000,312050076,1050000,2168,471
2006-06-28 18:19:07.000,10411212,94900,280,472
2024-01-30 20:57:10.880,1823127,59100,29,473
2021-01-01 14:22:38.974,50334739,430000,216,474
2021-03-02 14:07:38.085,96723952,134000,57,475
2020-08-10 04:46:26.066,103730310,562000,685,476
2010-03-23 02:59:51.000,63116394,415000,536,477
2010-04-13 20:11:05.000,385862651,3700000,92,478
2006-02-25 00:42:18.000,54921946,287000,2164,479
2023-07-31 13:34:27.736,49968704,113000,83,480
2018-05-03 03:55:52.000,24961252,258000,154,481
2012-04-15 06:13:36.000,10086896347,43400000,1386,482
2011-10-28 12:26:14.000,27591968,404000,141,483
2006-03-25 08:40:34.000,42088788,365000,1884,484
2012-08-30 16:31:00.000,559881921,1510000,945,485
2021-12-22 00:41:29.506,31750725,269000,131,486
2020-05-24 00:06:57.760,27997125,171000,252,487
2022-01-06 20:12:11.649,178620668,628000,56,488
2024-04-18 17:27:48.492,884446088,434000,383,489
2016-05-12 10:18:01.000,1116634548,4840000,919,490
2019-11-27 10:39:43.324,124690623,252000,1396,491
2013-08-21 20:36:02.000,3590122681,4590000,39317,492
2014-02-07 12:47:26.000,3485794,13800,56,493
2022-01-20 02:05:00.591,50098528,71100,556,494
2017-02-13 05:24:33.000,796986838,918000,415,495
2007-12-09 17:07:59.000,127230218,1050000,569,496
2017-11-23 18:25:27.000,11395762,50200,72,497
2015-11-26 03:20:34.000,33327709,125000,704,498
2009-05-23 20:52:22.000,1030600017,1720000,633,499
2024-03-08 02:18:54.622,530083686,1740000,391,500
2021-02-19 19:54:18.119,3563870652,5360000,550,501
2015-10-14 01:31:17.000,236784977,1620000,735,502
2018-05-08 21:27:10.000,394531185,885000,437,503
2011-07-31 19:05:38.000,3397749777,11500000,3873,504
2022-06-18 01:16:40.480,3346539,63900,90,505
2020-09-05 17:11:08.299,4507841717,6770000,1551,506
2021-01-17 12:37:06.266,52648017,52900,374,507
2022-11-05 18:27:42.545,12468564,73300,230,508
2022-11-01 23:19:30.985,14181272,16300,1855,509
2021-12-31 18:26:49.455,190779339,298000,777,510
2019-08-08 20:20:21.000,658975688,906000,11004,511
2024-05-13 02:54:47.438,220295015,273000,483,513
2014-12-14 03:07:35.000,10746008828,13400000,42514,514
2023-10-27 02:26:43.702,24037635,18700,115,515
2021-02-08 01:58:36.961,2284151613,2630000,803,516
2024-08-27 22:35:26.450,10210434,16600,26,517
2020-05-15 21:10:55.657,148155649,275000,198,518
2023-09-28 22:41:52.525,106850514,76300,159,519
2024-03-27 21:53:21.633,694494218,310000,1817,520
2019-04-15 19:11:43.000,3148192483,4380000,150,521
2024-09-15 15:59:42.919,22187192,315000,30,524
