createdAt,totViews,subscribers,videoCount,channel_ids.Indice,channel_ids.channelId
2013-01-11 02:02:24.000,1962835648,2950000,1857,21,UCP45EebTGl1ISj2DX33A2Rg
2024-05-21 13:22:59.651,166775413,53500,400,22,UChBGZi34UAE-Mw5-_JoA6-A
2022-03-03 23:23:25.652,651263998,272000,1380,23,UCT_idQparWMxBTcug2ed-qA
2023-11-29 13:56:16.904,288273972,167000,299,24,UChKoCiT0eebQ-844sQiihyQ
2020-12-16 03:05:02.553,14089327193,13700000,3660,25,UC3iwxKMRg5l2aDG_8XK2nSQ
2020-10-21 02:02:03.656,5084924767,6960000,1233,26,UCKmmERguliWTynG9OIoDhDw
2024-05-31 05:13:47.165,236707922,159000,292,27,UCKhqF8dCZM99CocnH-odYHw
2010-09-25 05:22:49.000,637001419,544000,332,28,UCS8fdPNO8SmYO3GoUmEuOag
2024-02-14 13:43:08.857,1468540754,763000,190,29,UCqWz3yRAj-JbCFFCq0jms0Q
2024-08-14 09:41:56.196,14848104,14300,161,30,UCTnULr_MB6YuYeBC0WdQvHQ
2024-09-14 07:38:01.887,25463418,10100,52,31,UCDa02TLDhPaH8sUOc7dVmrg
2024-08-27 15:57:25.884,73394930,42400,86,32,UCLL25tIDVNT3ahWP20REZHQ
2024-01-20 14:21:47.977,33114867,64100,47,33,UCvVmWRN4y5qy8ssV5ZwqN1A
2021-08-16 08:24:11.102,839207752,1720000,229,34,UCLZnFlEl_FgKKy01icOAxoQ
2022-09-01 11:18:53.463,999539245,1780000,97,35,UCKu9FLfyAYmlQja0qNXu63A
2024-04-11 19:50:46.175,76993516,81000,207,36,UCOCJianR4VLyhuugNgMZUkw
2024-07-28 08:09:10.350,291836278,221000,139,37,UCozJ0aIe6xasoYC4p8XOvcw
2023-09-27 20:02:20.132,159112344,594000,268,38,UCby6ZYZsdNX0hvxfNizc0pg
2024-07-08 18:05:15.913,16424743,29600,73,39,UCw8SISrWk-FboA_WnRrc4kw
2018-02-02 07:29:03.000,323297611,181000,145,40,UCyom2UA2ftfI2-JLN2zdGXg
2022-09-01 13:38:55.989,1207187352,434000,731,41,UCyNsPTbcRQoI_RdjZoBiGaQ
2024-06-02 08:16:20.890,172753376,89300,166,42,UCkkA6t7xkD95npYIZ_is8Zw
2018-06-05 16:12:57.000,246757721,350000,767,43,UCVIEcvgw2q8Oq9rjwCuB_IQ
2024-07-09 03:54:23.484,211170462,177000,123,44,UCpAH7Q2b5JAQSMTULGnI7dg
2024-09-10 16:31:14.132,36624852,34600,75,45,UCsAT6ytJr-K1GzViLUzPtqw
2023-06-18 11:37:35.218,1391091979,2330000,295,46,UCD6mBIpnABfPV5Gx5pqwo8w
2021-03-25 16:51:34.447,532342199,473000,1022,47,UCGaO3wLV8_N1YFbMOtuaYqw
2010-11-09 13:54:13.000,69188207,259000,204,48,UCJ_waKl9kjbhfXI3LJOfHvA
2023-07-20 16:51:08.460,158099590,87700,61,49,UCX5Q-J1cTEGHIjQWBF13MmA
2018-06-18 09:43:25.000,7123119643,9090000,2387,50,UChFs0d8syPIK6x8q4C6BrJw
2009-01-03 19:49:49.000,2116824469,1740000,613,51,UCT_QEGH0myu6lgbE_biQPuw
2017-04-09 15:02:07.000,36537549405,43800000,1879,52,UCd5ApCORQsMOZZz5E9oVeFA
2020-09-03 04:38:38.963,3494487173,3110000,890,53,UCrMabu7HclTiDf5ZAgjHxqQ
2023-10-06 08:17:33.292,832704536,1520000,361,54,UC0Zh1b-1vJiJqpXLD6FBkDA
2024-06-07 13:25:53.545,917858615,636000,261,55,UCrtLDp_JdjepmL0ziCF7v1Q
2006-10-18 16:40:14.000,34356549,55500,77,56,UCasx4kxysejfupvP2brmXig
2024-05-14 18:43:53.275,856749931,651000,403,57,UCSD4oURAMlqW1pbwUuRU9sw
2024-06-22 09:56:41.070,102473931,63300,246,58,UCXmbU_9iZm2hWAZWVUy3kuQ
2024-05-23 14:48:59.204,87763659,86300,107,59,UCdq1pK4Ewe6niThqjEN0p6A
2022-07-24 17:14:56.765,1854675477,661000,2190,60,UCNrnx5h8mMjZEQqbbVXVMkA
2022-07-28 02:30:30.945,2048834878,1500000,733,61,UCvQ35id6_d0uUNUzPqAWqvg
2015-07-20 08:49:15.000,379538436,267000,294,62,UCNMg0ZGimrtVC2iUJxcMYAA
