videoId,title,description,publishedAt,duration,channelId,channelTitle,thumbnail_url,viewCount,likeCount,commentCount,categoryId,topics
fPl4NbmgJQM,Intenté hacer un día de entrenamiento militar en Colombia,"Video de BERTH: https://youtu.be/4LpFzNldejA

- Música: https://soundcloud.com/beatsofallnations
* Used under a Creative Commons license granted through Soundcloud https://creativecommons.org/licenses/by/3.0/

¡SUSCRÍBETE!

- Twitter https://www.twitter.com/LuisitoComunica
- Facebook http://www.facebook.com/LuisitoComunica
- Instagram http://www.instagram.com/LuisitoComunica",2018-11-25T19:00:04Z,PT11M3S,UCECJDeK0MNapZbpaOzxrUPA,Luisito Comunica,https://i.ytimg.com/vi/fPl4NbmgJQM/default.jpg,28889973,971581,32329,23,"https://en.wikipedia.org/wiki/Lifestyle_(sociology),https://en.wikipedia.org/wiki/Military"
OGIIPEaAzQI,EL RETO DEL SUSHI 🍣 Luisillo El Gordillo | JAPÓN,"Su hambre no tiene límites. Su nivel de epicidad tampoco.

Viajes chidos a la medida a Japón con la agencia más cool https://www.yoitabitravel.com/

- Música: https://soundcloud.com/thuskann/indian-wedding-timbaland
* Used under a Creative Commons License granted through Soundcloud https://creativecommons.org/licenses/by/3.0/ / Utilizadas bajo una licencia Creative Commons otorgada a través de Soundcloud https://creativecommons.org/licenses/by/3.0/

¡SUSCRÍBETE!

- Twitter https://www.twitter.com/LuisitoComunica
- Facebook http://www.facebook.com/LuisitoComunica
- Instagram http://www.instagram.com/LuisitoComunica",2019-03-12T22:00:10Z,PT20M59S,UCECJDeK0MNapZbpaOzxrUPA,Luisito Comunica,https://i.ytimg.com/vi/OGIIPEaAzQI/default.jpg,28795328,409442,14985,23,"https://en.wikipedia.org/wiki/Food,https://en.wikipedia.org/wiki/Lifestyle_(sociology),https://en.wikipedia.org/wiki/Tourism"
gg24vWLBtkY,Ir al cine NORMAL vs VIP | Cinépolis vs Cinemex | ¿Cuál es mejor?,"Pasé todo el día en salas de cine comparando los servicios de las diferentes compañías y sus categorías. Fue un divertido y oscuro día.

* Música: Boogie Belgique - Piccadily (S Strong remix) https://soundcloud.com/stelios_strong/boogie-belgique-piccadily-s
- www.facebook.com/BoogieBelgique
- https://soundcloud.com/boogiebelgique
- https://soundcloud.com/stelios_strong
- Usada con licencia Creative Commons 3.0 https://creativecommons.org/licenses/by/3.0/

¡SUSCRÍBETE!

- Twitter @LuisitoComunica :::: https://www.twitter.com/LuisitoComunica
- Facebook :::: http://www.facebook.com/LuisitoComunica
- Instagram @LuisitoComunica :::: http://www.instagram.com/LuisitoComunica
- Vine @LuisitoComunica",2017-06-04T19:02:32Z,PT13M8S,UCECJDeK0MNapZbpaOzxrUPA,Luisito Comunica,https://i.ytimg.com/vi/gg24vWLBtkY/default.jpg,27733760,720773,31117,23,"https://en.wikipedia.org/wiki/Entertainment,https://en.wikipedia.org/wiki/Film"
ThCtZCkk4Rc,El cementerio de autos de lujo ABANDONADOS de Dubai,"¡SUSCRÍBETE!

- Twitter https://www.twitter.com/LuisitoComunica
- Facebook http://www.facebook.com/LuisitoComunica
- Instagram http://www.instagram.com/LuisitoComunica

Música :https://soundcloud.com/vrunomusic/bajando-del-arbol-original-mix",2019-08-27T20:07:46Z,PT14M32S,UCECJDeK0MNapZbpaOzxrUPA,Luisito Comunica,https://i.ytimg.com/vi/ThCtZCkk4Rc/default.jpg,27413805,543053,20411,23,"https://en.wikipedia.org/wiki/Lifestyle_(sociology),https://en.wikipedia.org/wiki/Vehicle"
N240wiPw2EM,Probando comida callejera en TAILANDIA 🇹🇭| Luisillo El Gordillo,"Compra épica ropa de Rey Palomo aquí https://elreypalomo.com/

Luisillo El Gordillo regresa, una vez más, ahora probando las exquisiteces que Tailandia tiene que ofrecer. La cosa se puso engordante; como Chuletona La Glotona lo ha afirmado: ""sabroso, pero grasoso"".

- Música: https://soundcloud.com/ludotrope/14-sanae-petchaboon-pen-jung
* Used under a Creative Commons licence 3.0 granted through Soundcloud https://creativecommons.org/licenses/by/3.0/ / Utilizada bajo una licencia Creative Commons 3.0 otorgada a través de Soundcloud https://creativecommons.org/licenses/by/3.0/

¡SUSCRÍBETE!

- Twitter https://www.twitter.com/LuisitoComunica
- Facebook http://www.facebook.com/LuisitoComunica
- Instagram http://www.instagram.com/LuisitoComunica",2018-12-09T20:15:00Z,PT18M14S,UCECJDeK0MNapZbpaOzxrUPA,Luisito Comunica,https://i.ytimg.com/vi/N240wiPw2EM/default.jpg,27192499,458237,20091,23,"https://en.wikipedia.org/wiki/Food,https://en.wikipedia.org/wiki/Lifestyle_(sociology),https://en.wikipedia.org/wiki/Tourism"
Xmxp0wuXjjo,Tengo el teléfono HUAWEI que se dobla 😱 ¿Vale la pena gastar TANTO? | Huawei Mate XS,"¡SUSCRÍBETE!

- Twitter https://www.twitter.com/LuisitoComunica
- Facebook http://www.facebook.com/LuisitoComunica
- Instagram http://www.instagram.com/LuisitoComunica",2020-03-05T21:12:56Z,PT13M28S,UCECJDeK0MNapZbpaOzxrUPA,Luisito Comunica,https://i.ytimg.com/vi/Xmxp0wuXjjo/default.jpg,26507162,873174,33808,23,"https://en.wikipedia.org/wiki/Lifestyle_(sociology),https://en.wikipedia.org/wiki/Technology"
VbvkT2Y-00Y,Probando comida callejera en VENEZUELA 🇻🇪🫓,"Luisillo El Gordillo se aventura por Venezuela. Fue una deliciosa y muy frita aventura…

Momentos en el video:

00:00 Intro
01:50 Empanada gigante
05:44 Pabellón
07:38 Pepitos de 2 metros 
12:52 Arepas
16:26 Cachapa
17:44 Despedida

Música por: https://selloregional.com/

- Cámbiate a PILLOFON, mi compañía telefónica https://pillofon.mx/
- Checa REY PALOMO, mi marca de ropa https://elreypalomo.com/
- Mi podcast ""En Cortinas"" https://www.youtube.com/channel/UCBGTa75yKQ84Q6Pcr3NQ_RA
- Mi canal de historias @Luisito Comunica Stories   https://www.youtube.com/channel/UCMw2OXRkEZ72sYBy8T56tqA

¡SUSCRÍBETE!

- Sígueme en Instagram @LuisitoComunica http://www.instagram.com/LuisitoComunica
- Sígueme en Facebook http://www.facebook.com/LuisitoComunica
- Twitter https://www.twitter.com/LuisitoComunica",2021-09-01T20:13:25Z,PT18M29S,UCECJDeK0MNapZbpaOzxrUPA,Luisito Comunica,https://i.ytimg.com/vi/VbvkT2Y-00Y/default.jpg,26008947,565508,29027,23,"https://en.wikipedia.org/wiki/Food,https://en.wikipedia.org/wiki/Lifestyle_(sociology)"
XvrngnRhOis,Visitando un SUPERMERCADO EN CHINA!,"Desde dulces deliciosos hasta tortugas por kilo... Bienvenido a LuisiToooops...

* Música: Arigato - Myster https://youtu.be/TrXiq2SprEU

¡SUSCRÍBETE!

- Twitter @LuisitoComunica :::: https://www.twitter.com/LuisitoComunica
- Facebook :::: http://www.facebook.com/LuisitoComunica
- Instagram @LuisitoComunica :::: http://www.instagram.com/LuisitoComunica
- Vine @LuisitoComunica",2017-03-30T22:24:49Z,PT11M49S,UCECJDeK0MNapZbpaOzxrUPA,Luisito Comunica,https://i.ytimg.com/vi/XvrngnRhOis/default.jpg,25981599,526230,21067,23,"https://en.wikipedia.org/wiki/Food,https://en.wikipedia.org/wiki/Lifestyle_(sociology),https://en.wikipedia.org/wiki/Tourism"
BxnBmK0Gr2c,Probando COMIDA CALLEJERA en Guatemala 🐖🇬🇹,"Luisillo El Gordillo ha devorado en tierras guatemaltecas.

- Música https://soundcloud.com/kumbale/01-jungla-de-fuego-pueblo
* Used under a Creative Commons License granted through Soundcloud https://creativecommons.org/licenses/by/3.0/ / Utilizadas bajo una licencia Creative Commons otorgada a través de Soundcloud https://creativecommons.org/licenses/by/3.0/

¡SUSCRÍBETE!

- Twitter https://www.twitter.com/LuisitoComunica
- Facebook http://www.facebook.com/LuisitoComunica
- Instagram http://www.instagram.com/LuisitoComunica",2019-07-29T18:15:02Z,PT16M14S,UCECJDeK0MNapZbpaOzxrUPA,Luisito Comunica,https://i.ytimg.com/vi/BxnBmK0Gr2c/default.jpg,25914616,614813,48039,23,"https://en.wikipedia.org/wiki/Food,https://en.wikipedia.org/wiki/Lifestyle_(sociology)"
2I5Qh35SSP0,Volé con la aerolínea más costosa EMIRATES  💸 ¿Vale la pena pagar TANTO? 🛩️,"Muy grata experiencia. Me ha encantado :D

¡SUSCRÍBETE!

- Twitter https://www.twitter.com/LuisitoComunica
- Facebook http://www.facebook.com/LuisitoComunica
- Instagram http://www.instagram.com/LuisitoComunica",2019-12-20T23:22:02Z,PT18M59S,UCECJDeK0MNapZbpaOzxrUPA,Luisito Comunica,https://i.ytimg.com/vi/2I5Qh35SSP0/default.jpg,25317679,610349,17360,23,https://en.wikipedia.org/wiki/Lifestyle_(sociology)
