channelId,channelTitle,createdAt,totViews,subscribers,videoCount,topicsIds,topicCat
UCvHm-lDQEhRJNCd8BdpzDkQ,ESPN MLB,2024-03-27T20:53:21.63363Z,694494218,310000,1817,"/m/018jz,/m/06ntj,/m/019_rr","https://en.wikipedia.org/wiki/Baseball,https://en.wikipedia.org/wiki/Sport,https://en.wikipedia.org/wiki/Lifestyle_(sociology)"
UC86mbDclXQeljk975_KZpXg,Bsm Edits 20,2019-04-15T17:11:43Z,3148192483,4380000,150,"/m/02vx4,/m/06ntj","https://en.wikipedia.org/wiki/Association_football,https://en.wikipedia.org/wiki/Sport"
UCyNsPTbcRQoI_RdjZoBiGaQ,Fire,2022-09-01T11:38:55.98997Z,1207187352,434000,731,"/m/02vxn,/m/02jjt","https://en.wikipedia.org/wiki/Film,https://en.wikipedia.org/wiki/Entertainment"
UCC2lbKruS3-22iTD_1fe_MQ,NXCRE,2017-12-09T20:57:54Z,1243688178,443000,1082,"/m/02jjt,/m/04rlf","https://en.wikipedia.org/wiki/Entertainment,https://en.wikipedia.org/wiki/Music"
UCg5imEqLU79i9XTOS1NE38g,Elite Kick,2024-09-15T13:59:42.919805Z,22187192,315000,30,"/m/02vx4,/m/06ntj","https://en.wikipedia.org/wiki/Association_football,https://en.wikipedia.org/wiki/Sport"
UCE7spuKzxP1k8A-XucxxUAQ,John Casterline,2020-11-06T18:43:34.596174Z,4504337401,6090000,1500,/m/02jjt,https://en.wikipedia.org/wiki/Entertainment
UCeKOGzYzL2JKUpW1IxS-jCA,PrettyBored,2010-11-27T23:35:24Z,978635570,1820000,315,"/m/09kqc,/m/02vxn,/m/02jjt,/m/019_rr","https://en.wikipedia.org/wiki/Humour,https://en.wikipedia.org/wiki/Film,https://en.wikipedia.org/wiki/Entertainment,https://en.wikipedia.org/wiki/Lifestyle_(sociology)"
UCDCBdJ6fZzvbgjN8Vf67xOQ,Xkrull MMA,2024-03-30T20:47:45.769324Z,175115365,74300,378,"/m/01h7lh,/m/01cgz,/m/06ntj,/m/019_rr","https://en.wikipedia.org/wiki/Mixed_martial_arts,https://en.wikipedia.org/wiki/Boxing,https://en.wikipedia.org/wiki/Sport,https://en.wikipedia.org/wiki/Lifestyle_(sociology)"
UCE28rwYoaV7jvU6GVzdu_GQ,World Rugby,2006-05-17T15:42:39Z,1027835051,1790000,9381,/m/06ntj,https://en.wikipedia.org/wiki/Sport
UCoKFBIpf65_knnZyB77Ecwg,MD Productions,2024-05-09T02:15:15.351483Z,14929516,17600,112,"/m/018w8,/m/06ntj,/m/019_rr","https://en.wikipedia.org/wiki/Basketball,https://en.wikipedia.org/wiki/Sport,https://en.wikipedia.org/wiki/Lifestyle_(sociology)"
UCmNMxZqiWk3ZX8SDhSgLHlQ,4th&1 With Cam Newton,2023-04-26T15:40:32.382004Z,63411973,231000,868,"/m/0jm_,/m/06ntj,/m/02vx4","https://en.wikipedia.org/wiki/American_football,https://en.wikipedia.org/wiki/Sport,https://en.wikipedia.org/wiki/Association_football"
UCEoCW7B1HEK4-uoqzaZ-vvw,Kaylee Marie,2014-06-28T20:59:13Z,2212571,17900,84,/m/019_rr,https://en.wikipedia.org/wiki/Lifestyle_(sociology)
UCX5qMbq8Y9h9TOdFhKUhkrw,MaxPreps,2007-10-05T18:59:56Z,5197925673,3080000,12828,"/m/0jm_,/m/06ntj,/m/02vx4","https://en.wikipedia.org/wiki/American_football,https://en.wikipedia.org/wiki/Sport,https://en.wikipedia.org/wiki/Association_football"
UC5HfVz8n-2l0Th4iGgO8Ijg,Viralform,2022-03-20T09:21:56.984634Z,13879731,15800,69,"/m/05qt0,/m/02jjt,/m/098wr","https://en.wikipedia.org/wiki/Politics,https://en.wikipedia.org/wiki/Entertainment,https://en.wikipedia.org/wiki/Society"
UCiio0ydw439X13KyZgMIcHw,NFL on ESPN,2021-07-16T01:57:11.997269Z,349290073,538000,9610,"/m/0jm_,/m/02vx4,/m/0f2f9,/m/06ntj","https://en.wikipedia.org/wiki/American_football,https://en.wikipedia.org/wiki/Association_football,https://en.wikipedia.org/wiki/Television_program,https://en.wikipedia.org/wiki/Sport"
UCybR149vtw40AjiQhvdckXg,benqroom,2022-11-13T12:35:13.572955Z,189842852,257000,632,"/m/0jm_,/m/06ntj,/m/019_rr","https://en.wikipedia.org/wiki/American_football,https://en.wikipedia.org/wiki/Sport,https://en.wikipedia.org/wiki/Lifestyle_(sociology)"
UCS7dhtzQL6ZRVVUyIXdSfSA,Anthony Williams,2022-12-29T05:36:24.938179Z,60333938,103000,163,"/m/019_rr,/m/06ntj,/m/018w8","https://en.wikipedia.org/wiki/Lifestyle_(sociology),https://en.wikipedia.org/wiki/Sport,https://en.wikipedia.org/wiki/Basketball"
UCBcX4OY-HoPj6hc5-zpkTbw,King Moe,2014-04-01T20:15:52Z,102047007,74600,2322,"/m/0jm_,/m/0glt670,/m/06ntj,/m/04rlf","https://en.wikipedia.org/wiki/American_football,https://en.wikipedia.org/wiki/Hip_hop_music,https://en.wikipedia.org/wiki/Sport,https://en.wikipedia.org/wiki/Music"
UCFWAXGzg3lc60ydrrZMGhsA,Dockery,2012-09-11T01:48:10Z,376276425,1130000,438,"/m/0jm_,/m/06ntj,/m/02vx4","https://en.wikipedia.org/wiki/American_football,https://en.wikipedia.org/wiki/Sport,https://en.wikipedia.org/wiki/Association_football"
UCHK5Lxx08ba-45zth-xn8sA,Did You Know This Thing?,2023-01-02T22:05:12.991154Z,57094411,63200,547,"/m/02vx4,/m/06ntj,/m/0jm_,/m/02jjt","https://en.wikipedia.org/wiki/Association_football,https://en.wikipedia.org/wiki/Sport,https://en.wikipedia.org/wiki/American_football,https://en.wikipedia.org/wiki/Entertainment"
UCqQo7ewe87aYAe7ub5UqXMw,House of Highlights,2018-01-23T19:32:41Z,20340878700,15800000,46462,"/m/018w8,/m/06ntj","https://en.wikipedia.org/wiki/Basketball,https://en.wikipedia.org/wiki/Sport"
UCZFhj_r-MjoPCFVUo3E1ZRg,Whistle,2006-09-12T01:34:37Z,1424950892,3170000,3903,"/m/018jz,/m/06ntj,/m/0jm_","https://en.wikipedia.org/wiki/Baseball,https://en.wikipedia.org/wiki/Sport,https://en.wikipedia.org/wiki/American_football"
UCl9E4Zxa8CVr2LBLD0_TaNg,Jomboy Media,2006-12-28T20:29:28Z,1442736372,2000000,3082,"/m/018jz,/m/06ntj,/m/09xp_","https://en.wikipedia.org/wiki/Baseball,https://en.wikipedia.org/wiki/Sport,https://en.wikipedia.org/wiki/Cricket"
UCx18ywTcohtS9lpNXt8noWQ,Omar Raja - ESPN,2007-02-26T13:31:42Z,23524997571,14000000,3697,"/m/02jjt,/m/06ntj,/m/019_rr","https://en.wikipedia.org/wiki/Entertainment,https://en.wikipedia.org/wiki/Sport,https://en.wikipedia.org/wiki/Lifestyle_(sociology)"
UCy-U026m7Y5VjhhUmXwj-3A,Quarterback Plug (The Quarterback Plug),2019-08-11T17:44:03Z,894554575,821000,362,"/m/0jm_,/m/019_rr,/m/02vx4,/m/06ntj","https://en.wikipedia.org/wiki/American_football,https://en.wikipedia.org/wiki/Lifestyle_(sociology),https://en.wikipedia.org/wiki/Association_football,https://en.wikipedia.org/wiki/Sport"
UCdIFTflafikgEEUuKZia3jQ,HangTime,2022-03-13T01:45:47.426498Z,587774151,234000,5132,"/m/0jm_,/m/06ntj,/m/019_rr","https://en.wikipedia.org/wiki/American_football,https://en.wikipedia.org/wiki/Sport,https://en.wikipedia.org/wiki/Lifestyle_(sociology)"
