channelId,channelTitle,createdAt,totViews,subscribers,videoCount,topicsIds,topicCat
UCOnECY8FBKKPVi5ZsSgXPJA,RDC Live,2022-08-20T18:28:31.216513Z,187217345,450000,660,"/m/02ntfj,/m/0403l3g,/m/025zzc,/m/0bzvm2,/m/02jjt","https://en.wikipedia.org/wiki/Action-adventure_game,https://en.wikipedia.org/wiki/Role-playing_video_game,https://en.wikipedia.org/wiki/Action_game,https://en.wikipedia.org/wiki/Video_game_culture,https://en.wikipedia.org/wiki/Entertainment"
UCMzzjz-hBg1UoywNFSNXdPw,ក្រុមអ្នកប្រយុទ្ធ,2016-09-17T04:25:44Z,7212192,83300,205,"/m/02vxn,/m/0bzvm2,/m/02jjt","https://en.wikipedia.org/wiki/Film,https://en.wikipedia.org/wiki/Video_game_culture,https://en.wikipedia.org/wiki/Entertainment"
UCcJL2ld6kxy_nuV1u7PVQ0g,DrDisRespect,2010-01-05T17:09:56Z,756340671,4590000,1471,"/m/02ntfj,/m/025zzc,/m/0bzvm2,/m/0403l3g,/m/03hf_rm","https://en.wikipedia.org/wiki/Action-adventure_game,https://en.wikipedia.org/wiki/Action_game,https://en.wikipedia.org/wiki/Video_game_culture,https://en.wikipedia.org/wiki/Role-playing_video_game,https://en.wikipedia.org/wiki/Strategy_video_game"
UC3uOXQfZsAU2NMrZxraw5Aw,JD,2016-09-15T03:06:15Z,500095021,1640000,2433,"/m/02ntfj,/m/021bp2,/m/0403l3g,/m/0bzvm2,/m/025zzc","https://en.wikipedia.org/wiki/Action-adventure_game,https://en.wikipedia.org/wiki/Simulation_video_game,https://en.wikipedia.org/wiki/Role-playing_video_game,https://en.wikipedia.org/wiki/Video_game_culture,https://en.wikipedia.org/wiki/Action_game"
UCBq8CLRcJN8rgqHOkyL1ozg,Supergiant Games,2010-03-09T08:03:06Z,115718424,234000,291,"/m/0403l3g,/m/02ntfj,/m/025zzc,/m/0bzvm2,/m/03hf_rm","https://en.wikipedia.org/wiki/Role-playing_video_game,https://en.wikipedia.org/wiki/Action-adventure_game,https://en.wikipedia.org/wiki/Action_game,https://en.wikipedia.org/wiki/Video_game_culture,https://en.wikipedia.org/wiki/Strategy_video_game"
UCOgaIuQYGr6ow_jbote4BKA,Maximilian Dood,2007-05-26T00:56:06Z,1305887222,1760000,7496,"/m/0403l3g,/m/02ntfj,/m/025zzc,/m/0bzvm2","https://en.wikipedia.org/wiki/Role-playing_video_game,https://en.wikipedia.org/wiki/Action-adventure_game,https://en.wikipedia.org/wiki/Action_game,https://en.wikipedia.org/wiki/Video_game_culture"
UClaQTfyXUl2CR1HYx0uVnRQ,akaElectro,2015-11-29T22:48:09Z,60412760,115000,1120,"/m/06ntj,/m/03hf_rm,/m/0bzvm2,/m/022dc6","https://en.wikipedia.org/wiki/Sport,https://en.wikipedia.org/wiki/Strategy_video_game,https://en.wikipedia.org/wiki/Video_game_culture,https://en.wikipedia.org/wiki/Sports_game"
UClyGlKOhDUooPJFy4v_mqPg,DougDoug,2008-03-16T23:58:57Z,595056417,2750000,203,"/m/0403l3g,/m/02ntfj,/m/025zzc,/m/0bzvm2","https://en.wikipedia.org/wiki/Role-playing_video_game,https://en.wikipedia.org/wiki/Action-adventure_game,https://en.wikipedia.org/wiki/Action_game,https://en.wikipedia.org/wiki/Video_game_culture"
UCicx_4RfqfiM07AXLv09Hww,Glitch,2018-01-23T06:31:49Z,1770787604,9800000,1017,"/m/02ntfj,/m/0403l3g,/m/0bzvm2,/m/025zzc","https://en.wikipedia.org/wiki/Action-adventure_game,https://en.wikipedia.org/wiki/Role-playing_video_game,https://en.wikipedia.org/wiki/Video_game_culture,https://en.wikipedia.org/wiki/Action_game"
UCJEGvSZnQ1pkVfHO8s5G8hA,Riot Games,2013-08-30T17:55:55Z,31655572,531000,164,"/m/025zzc,/m/03hf_rm,/m/0403l3g,/m/0bzvm2,/m/02ntfj","https://en.wikipedia.org/wiki/Action_game,https://en.wikipedia.org/wiki/Strategy_video_game,https://en.wikipedia.org/wiki/Role-playing_video_game,https://en.wikipedia.org/wiki/Video_game_culture,https://en.wikipedia.org/wiki/Action-adventure_game"
UCwVJr6R-2Hbezs5Ur4zmcLw,Fresh Spawns,2020-08-02T13:07:36.927351Z,382168326,598000,1055,"/m/0403l3g,/m/025zzc,/m/02ntfj,/m/0bzvm2,/m/03hf_rm,/m/021bp2","https://en.wikipedia.org/wiki/Role-playing_video_game,https://en.wikipedia.org/wiki/Action_game,https://en.wikipedia.org/wiki/Action-adventure_game,https://en.wikipedia.org/wiki/Video_game_culture,https://en.wikipedia.org/wiki/Strategy_video_game,https://en.wikipedia.org/wiki/Simulation_video_game"
UCulXXKKrC3LjQpxGNPNMFPA,Flats,2016-12-09T15:37:45Z,412395798,673000,2190,"/m/0bzvm2,/m/02ntfj,/m/025zzc,/m/0403l3g,/m/03hf_rm","https://en.wikipedia.org/wiki/Video_game_culture,https://en.wikipedia.org/wiki/Action-adventure_game,https://en.wikipedia.org/wiki/Action_game,https://en.wikipedia.org/wiki/Role-playing_video_game,https://en.wikipedia.org/wiki/Strategy_video_game"
UCJf1vgH-DyFff0oC9UOosIA,FadeUnchanged,2020-04-05T05:39:05.401595Z,154192668,541000,602,"/m/02ntfj,/m/025zzc,/m/0403l3g,/m/0bzvm2","https://en.wikipedia.org/wiki/Action-adventure_game,https://en.wikipedia.org/wiki/Action_game,https://en.wikipedia.org/wiki/Role-playing_video_game,https://en.wikipedia.org/wiki/Video_game_culture"
UCj4zC1Hfj-uc90FUXzRamNw,Phoenix SC,2014-08-30T23:59:19Z,1413045209,2540000,1968,"/m/02ntfj,/m/0403l3g,/m/0bzvm2,/m/025zzc","https://en.wikipedia.org/wiki/Action-adventure_game,https://en.wikipedia.org/wiki/Role-playing_video_game,https://en.wikipedia.org/wiki/Video_game_culture,https://en.wikipedia.org/wiki/Action_game"
UCC540wcJL0DeQlC8lgUP-XQ,FuriousFade,2014-12-09T04:09:36Z,447444603,2420000,912,"/m/025zzc,/m/0403l3g,/m/02ntfj,/m/0bzvm2","https://en.wikipedia.org/wiki/Action_game,https://en.wikipedia.org/wiki/Role-playing_video_game,https://en.wikipedia.org/wiki/Action-adventure_game,https://en.wikipedia.org/wiki/Video_game_culture"
UCtwOgy4vDxfGmsHR0YMVufg,The Boys Gaming,2022-09-20T03:58:54.699628Z,51552459,730000,53,"/m/02ntfj,/m/025zzc,/m/0bzvm2,/m/0403l3g","https://en.wikipedia.org/wiki/Action-adventure_game,https://en.wikipedia.org/wiki/Action_game,https://en.wikipedia.org/wiki/Video_game_culture,https://en.wikipedia.org/wiki/Role-playing_video_game"
UCZ7AeeVbyslLM_8-nVy2B8Q,Skill Up,2015-12-24T05:02:45Z,263401138,1010000,971,"/m/02ntfj,/m/03hf_rm,/m/025zzc,/m/0bzvm2,/m/0403l3g","https://en.wikipedia.org/wiki/Action-adventure_game,https://en.wikipedia.org/wiki/Strategy_video_game,https://en.wikipedia.org/wiki/Action_game,https://en.wikipedia.org/wiki/Video_game_culture,https://en.wikipedia.org/wiki/Role-playing_video_game"
UCqps5ZXGM-kpBoJo-cNMs_Q,amCobalt,2022-07-26T18:29:16.90492Z,366146565,281000,147,"/m/02ntfj,/m/0403l3g,/m/0bzvm2,/m/025zzc","https://en.wikipedia.org/wiki/Action-adventure_game,https://en.wikipedia.org/wiki/Role-playing_video_game,https://en.wikipedia.org/wiki/Video_game_culture,https://en.wikipedia.org/wiki/Action_game"
